City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Torbay,20,CA,1537804800,34,47.66,-52.73,50.0,19.46
Saskylakh,92,RU,1537808003,98,71.97,114.09,33.33,12.57
Xam Nua,0,LA,1537808003,86,20.42,104.04,65.01,1.72
Puerto Ayora,75,EC,1537804800,64,-0.74,-90.35,75.2,16.11
Sao Joao da Barra,20,BR,1537804800,46,-21.64,-41.05,89.6,9.17
Gat,20,SN,1537808003,91,14.69,-16.54,81.57,1.95
Constitucion,75,MX,1537803900,93,23.99,-104.67,64.4,3.96
Mehamn,75,NO,1537806000,75,71.03,27.85,44.6,26.4
Nanortalik,88,GL,1537808004,96,60.14,-45.24,38.64,21.18
Kangaatsiaq,76,GL,1537808005,97,68.31,-53.46,38.73,11.45
Avarua,20,CK,1537804800,82,-21.21,-159.78,68.0,2.24
Kamenka,76,RU,1537808005,76,53.19,44.05,50.79,9.55
Bryan,90,US,1537805700,90,30.67,-96.37,79.34,6.93
Lata,92,IN,1537808005,100,30.78,78.62,53.49,1.72
Flin Flon,90,CA,1537804800,86,54.77,-101.88,37.4,3.36
Twentynine Palms,1,US,1537804560,21,34.14,-116.05,89.06,3.96
Bathsheba,40,BB,1537804800,70,13.22,-59.52,86.0,11.41
Hellin,0,ES,1537804800,27,38.51,-1.7,89.6,3.36
Kodiak,90,US,1537804380,86,39.95,-94.76,69.08,9.17
Nikolskoye,0,RU,1537804800,70,59.7,30.79,46.4,6.71
Karratha,0,AU,1537808007,29,-20.74,116.85,69.06,7.2
Batouri,20,CM,1537808007,81,4.44,14.36,76.62,4.18
Faanui,0,PF,1537808007,100,-16.48,-151.75,78.06,17.05
Imbituba,40,BR,1537804800,45,-28.24,-48.67,84.2,10.29
Cockburn Town,0,TC,1537808008,95,21.46,-71.14,84.99,15.7
Dikson,24,RU,1537808008,96,73.51,80.55,39.36,13.02
Thompson,90,CA,1537804800,64,55.74,-97.86,35.6,3.51
East London,0,ZA,1537804800,68,-33.02,27.91,68.0,13.87
Port Alfred,0,ZA,1537808009,80,-33.59,26.89,70.59,15.37
Zlobin,0,HR,1537806600,39,45.29,14.65,62.6,12.75
Upernavik,20,GL,1537807504,100,72.79,-56.15,31.17,9.66
Flinders,0,AU,1537804800,100,-34.58,150.85,44.6,8.05
Cabo San Lucas,40,MX,1537803660,62,22.89,-109.91,86.0,11.41
Dillingen,0,DE,1537806000,62,49.85,6.32,53.6,6.93
Touros,24,BR,1537808010,68,-5.2,-35.46,84.27,18.05
Poum,75,MK,1537806600,46,41.28,20.71,69.8,4.7
Cururupu,8,BR,1537808011,62,-1.82,-44.87,87.33,10.0
Norman Wells,75,CA,1537804800,93,65.28,-126.83,37.4,5.82
Georgetown,75,GY,1537804800,62,6.8,-58.16,89.6,6.93
Natchez,75,US,1537806060,83,31.56,-91.4,80.6,5.82
Belaya Gora,36,RU,1537808072,91,68.54,146.19,27.93,6.98
Sierra Vista,40,US,1537804680,47,31.55,-110.3,77.54,3.36
Gabu,92,CN,1537808073,99,34.78,103.0,46.92,2.73
Palana,92,RU,1537808073,97,59.08,159.95,39.9,6.53
Jawhar,0,IN,1537808073,96,19.91,73.23,70.5,2.73
Honiara,75,SB,1537804800,94,-9.43,159.96,77.0,2.24
La Ronge,20,CA,1537804800,75,55.1,-105.3,42.8,10.29
Cidreira,88,BR,1537808074,87,-30.17,-50.22,74.1,5.64
Jurm,0,AF,1537808074,72,36.86,70.83,35.94,0.94
Mizan Teferi,48,ET,1537808074,76,6.99,35.58,65.19,0.72
Unity,36,CA,1537808074,82,52.44,-109.15,45.39,10.45
Denpasar,40,ID,1537804800,83,-8.65,115.22,80.6,8.05
Long Beach,40,US,1537806120,72,30.35,-89.15,86.0,8.05
Sao Filipe,0,CV,1537808075,92,14.9,-24.5,78.6,11.79
Mangai,44,CD,1537808075,85,-4.07,19.59,75.9,2.73
Comodoro Rivadavia,40,AR,1537804800,70,-45.87,-67.48,44.6,5.82
Evensk,56,RU,1537808076,100,61.92,159.24,41.34,8.77
Montepuez,36,MZ,1537808076,48,-13.13,39.0,78.96,9.22
Ixtapa,40,MX,1537803780,79,20.71,-105.21,86.0,4.7
Ribeira Grande,20,PT,1537804800,73,38.52,-28.7,75.2,12.75
Port Hedland,0,AU,1537806600,52,-20.31,118.58,69.8,8.05
Pevek,88,RU,1537808077,100,69.7,170.27,36.66,12.24
Saint-Philippe,1,CA,1537806900,41,45.36,-73.48,58.28,4.7
Longyearbyen,75,NO,1537804200,80,78.22,15.63,39.2,1.72
North Bend,1,US,1537804560,89,43.41,-124.22,51.98,3.36
Arraial do Cabo,0,BR,1537804800,62,-22.97,-42.02,86.0,9.17
Kabare,88,RW,1537808078,66,-1.65,29.38,68.79,5.19
Antalaha,24,MG,1537807867,91,-14.9,50.28,69.96,7.43
Sarwar,0,IN,1537808079,89,26.06,75.01,71.67,2.73
Pierre,90,US,1537805760,100,44.37,-100.35,46.94,6.93
Port Hawkesbury,20,CA,1537804800,40,45.62,-61.36,51.8,12.75
Carnarvon,80,ZA,1537808079,26,-30.97,22.13,71.4,18.5
Maltahohe,32,NA,1537808080,32,-24.83,16.98,71.94,6.2
East Wenatchee Bench,1,US,1537804500,50,47.43,-120.28,59.0,12.75
Channel-Port aux Basques,0,CA,1537808080,100,47.57,-59.14,48.36,24.87
Sibolga,8,ID,1537807872,100,1.74,98.78,67.89,1.16
Morant Bay,40,JM,1537804800,62,17.88,-76.41,89.6,16.11
Grindavik,75,IS,1537804800,70,63.84,-22.43,46.4,31.09
Tiksi,92,RU,1537808081,100,71.64,128.87,33.15,4.18
Bambous Virieux,20,MU,1537804800,69,-20.34,57.76,73.4,9.17
Kieta,56,PG,1537808081,100,-6.22,155.63,74.55,5.53
Santa Rita,75,VE,1537804800,94,10.21,-67.56,73.4,4.18
Avera,90,US,1537806900,70,33.19,-82.53,84.02,9.17
Tabat,8,ID,1537808083,82,-2.64,115.23,73.2,1.72
Walvis Bay,32,NA,1537804800,76,-22.95,14.51,57.2,8.05
Port Blair,68,IN,1537807476,100,11.67,92.75,79.86,8.32
Pangkalanbuun,20,ID,1537808144,90,-2.68,111.62,74.73,3.4
Husavik,48,CA,1537808145,100,50.56,-96.99,49.71,10.33
Moerai,44,PF,1537808145,100,-22.43,-151.33,71.31,15.26
Esperance,40,TT,1537804800,59,10.24,-61.45,89.6,9.17
Wynyard,44,CA,1537808145,100,51.77,-104.18,36.84,10.56
Manta,88,RO,1537808146,65,45.1,24.1,53.94,11.01
Lebu,0,ET,1537808146,49,8.96,38.73,54.39,6.2
Cayenne,0,GF,1537804800,55,4.94,-52.33,91.4,10.29
Santa Rosa,24,AR,1537808148,42,-36.62,-64.29,66.27,5.97
Basoko,64,CD,1537808149,100,1.23,23.61,69.96,2.62
Chulym,92,RU,1537808149,95,55.09,80.97,49.89,7.09
Kawalu,8,ID,1537807651,94,-7.38,108.21,60.06,1.61
Port Lincoln,0,AU,1537808149,100,-34.72,135.86,52.23,12.8
Columbus,75,US,1537806900,62,32.46,-84.99,89.06,9.17
Zacatecas,75,MX,1537804740,72,22.78,-102.57,66.2,3.36
Cherskiy,88,RU,1537808150,96,68.75,161.3,32.52,5.19
Jumla,48,NP,1537808150,94,29.28,82.18,35.31,2.28
Kavieng,88,PG,1537808150,100,-2.57,150.8,80.85,7.09
Castro,92,CL,1537808150,73,-42.48,-73.76,50.16,10.56
Petropavlovsk-Kamchatskiy,20,RU,1537804800,86,53.05,158.65,39.2,8.95
Kramat,20,ID,1537804800,78,-7.04,112.64,80.6,4.7
Bud,75,NO,1537806000,87,62.91,6.91,46.4,3.36
Novyy Urengoy,0,RU,1537807795,96,66.08,76.63,41.25,3.62
Yulara,0,AU,1537804800,23,-25.24,130.99,60.8,8.05
Ulladulla,0,AU,1537804800,100,-35.36,150.48,44.6,8.05
Maniitsoq,12,GL,1537808152,85,65.42,-52.9,39.99,8.43
Gouyave,40,GD,1537804800,79,12.16,-61.73,84.2,13.87
Pitimbu,75,BR,1537804800,62,-7.47,-34.81,84.2,16.11
Vestmannaeyjar,40,IS,1537804800,75,63.44,-20.27,46.4,28.86
College,75,US,1537804560,100,64.86,-147.8,37.94,5.82
Miyazu,100,JP,1537808154,92,35.58,135.2,63.57,3.96
Yuci,92,CN,1537806600,81,37.68,112.73,53.6,6.71
Okhotsk,0,RU,1537808154,100,59.36,143.24,35.94,4.41
Escanaba,90,US,1537806780,77,45.75,-87.06,62.6,11.41
Aklavik,75,CA,1537807380,92,68.22,-135.01,30.2,8.05
Linxia,92,CN,1537808155,100,35.6,103.21,50.34,2.95
Mareeba,20,AU,1537806600,77,-16.99,145.42,68.0,9.17
Porosozero,64,RU,1537808155,81,62.72,32.71,44.94,5.08
Thung Song,68,TH,1537808155,95,8.16,99.67,73.65,2.17
Pimentel,0,BR,1537808156,59,-3.7,-45.5,90.66,5.41
Dalvik,20,SE,1537806000,45,57.79,14.13,48.2,10.29
Narsaq,40,GL,1537804200,56,60.91,-46.05,44.6,10.29
Chifeng,8,CN,1537807725,81,42.27,118.96,38.64,2.39
Kruisfontein,0,ZA,1537808216,65,-34.0,24.73,68.43,10.78
Reconquista,92,AR,1537808217,82,-29.14,-59.64,73.11,15.48
Raymondville,90,US,1537807980,96,37.34,-91.83,69.08,4.7
Kaitangata,0,NZ,1537808218,84,-46.28,169.85,37.56,13.24
Thaba-Tseka,44,LS,1537808218,60,-29.52,28.61,51.15,3.74
Huilong,92,CN,1537808218,95,28.89,110.18,62.94,3.18
Kungalv,0,SE,1537806000,45,57.87,11.98,50.0,10.29
Tura,44,IN,1537808219,95,25.52,90.21,75.81,3.18
Dunedin,12,NZ,1537808056,99,-45.87,170.5,34.68,15.03
Ewa Beach,75,US,1537805820,96,21.32,-158.01,75.02,4.07
Turukhansk,24,RU,1537808220,93,65.8,87.96,43.23,11.01
Fort Stewart,90,US,1537806900,65,31.87,-81.61,86.72,3.36
Khatanga,92,RU,1537808220,100,71.98,102.47,37.83,20.07
Juba,48,EE,1537804200,57,57.82,26.93,51.8,10.29
Mahebourg,20,MU,1537804800,69,-20.41,57.7,73.4,9.17
Lakatoro,100,VU,1537808221,100,-16.11,167.42,72.57,10.78
Launceston,0,AU,1537806600,86,-41.43,147.14,37.4,8.05
Talnakh,24,RU,1537807653,95,69.49,88.39,41.07,12.46
Izazi,20,TZ,1537804800,49,-7.24,35.72,71.6,8.05
Poltavka,12,RU,1537808222,86,54.36,71.76,49.98,7.09
Edd,12,ER,1537808222,50,13.93,41.69,77.43,2.39
Malpe,20,IN,1537806600,88,13.35,74.72,78.8,3.36
Smithers,75,CA,1537804800,100,54.78,-127.17,42.8,2.24
Rio Grande,90,BR,1537804800,88,-32.03,-52.1,69.8,5.82
Faya,0,SA,1537804800,19,18.39,42.45,78.8,11.41
Svetlogorsk,40,RU,1537804800,67,53.14,59.15,59.0,8.95
Djibo,56,BF,1537808224,62,14.1,-1.63,86.43,1.61
Nemuro,92,JP,1537808224,96,43.32,145.57,62.76,17.83
Shingu,92,JP,1537808225,100,33.72,135.99,76.35,8.77
Harer,0,US,1537808225,26,42.19,-111.17,58.08,8.43
Havoysund,75,NO,1537806000,80,71.0,24.66,41.0,33.33
Banjarmasin,8,ID,1537804800,83,-3.32,114.59,77.0,2.24
High Rock,40,BS,1537804800,70,26.63,-78.28,86.0,11.41
La Palma,8,CO,1537808227,65,5.36,-74.39,81.21,2.06
Kuhdasht,0,IR,1537808227,59,33.53,47.61,57.27,1.95
Lodja,68,CD,1537808227,90,-3.52,23.6,75.81,3.18
Honningsvag,75,NO,1537806000,80,70.98,25.97,42.8,33.33
Casian,0,RO,1537806600,56,44.5,28.48,68.0,28.86
Narsipatnam,32,IN,1537808228,89,17.67,82.61,81.39,8.99
Arman,20,RU,1537804800,100,59.7,150.17,28.4,2.95
Izacic,0,BA,1537808041,83,44.88,15.78,45.66,5.64
Merauke,0,ID,1537808229,93,-8.49,140.4,74.1,15.82
Ornskoldsvik,0,SE,1537806000,42,63.29,18.72,46.4,18.34
Carinhanha,0,BR,1537808229,29,-14.3,-43.77,94.89,9.1
Shache,12,CN,1537807799,42,38.42,77.24,55.56,10.0
Mombetsu,76,JP,1537808290,100,44.35,143.35,60.87,15.59
Labuhan,0,ID,1537808290,84,-2.54,115.51,70.77,2.17
Narrabri,100,AU,1537808290,88,-30.33,149.78,51.87,9.1
Llanelli,12,GB,1537806000,66,51.68,-4.16,57.2,4.7
Srandakan,0,ID,1537808291,94,-7.94,110.25,69.06,2.28
Raudeberg,40,NO,1537806000,75,61.99,5.14,46.4,6.93
Liwale,64,TZ,1537808291,46,-9.8,37.92,79.14,6.64
Kushima,92,JP,1537808291,100,31.5,131.29,67.89,12.68
Kavaratti,64,IN,1537808291,100,10.57,72.64,82.92,7.65
Arklow,75,IE,1537804800,50,52.79,-6.14,57.2,6.93
Heze,92,CN,1537808292,67,35.25,115.45,61.41,7.54
Namibe,92,AO,1537808292,97,-15.19,12.15,67.17,6.76
Yenagoa,92,NG,1537808292,93,4.92,6.26,76.44,7.65
Nara,92,JP,1537804800,78,34.68,135.8,73.4,6.93
Apac,68,UG,1537808293,85,1.98,32.53,73.11,9.22
Moussoro,0,TD,1537808293,67,13.64,16.49,85.98,1.95
Sestri Levante,0,IT,1537806000,25,44.27,9.41,84.2,8.05
Pecos,1,US,1537805700,56,31.42,-103.49,70.88,3.74
Novo Aripuana,0,BR,1537808294,34,-5.12,-60.38,98.49,3.29
Brunswick,75,DE,1537806000,81,52.26,10.53,48.2,11.41
Adeje,100,NG,1537808295,92,5.68,5.76,77.7,7.76
Tadine,68,NC,1537808295,100,-21.55,167.88,68.61,10.22
Lisa,40,RO,1537806600,58,44.35,24.53,57.2,23.04
Saint-Georges,0,CA,1537808296,44,46.12,-70.67,49.44,3.51
Batemans Bay,0,AU,1537808296,100,-35.71,150.18,42.15,3.74
Geraldton,90,CA,1537805280,100,49.72,-86.95,42.8,12.75
Iqaluit,90,CA,1537804800,99,63.75,-68.52,32.0,18.34
Mana,90,RS,1537806600,93,43.52,20.24,48.2,9.17
Ostrovnoy,0,RU,1537808297,80,68.05,39.51,41.97,15.48
Horsham,0,AU,1537808176,88,-36.71,142.2,42.6,8.66
Zhuanghe,0,CN,1537808297,100,39.7,122.97,58.35,7.31
Leh,80,IN,1537808297,88,34.16,77.58,19.56,1.61
Ponta do Sol,0,BR,1537808298,34,-20.63,-46.0,91.38,3.96
Vila Franca do Campo,20,PT,1537806600,65,37.72,-25.43,77.0,14.99
Puerto Maldonado,0,PE,1537808196,52,-12.59,-69.19,92.55,3.4
Hasaki,75,JP,1537806600,100,35.73,140.83,69.8,4.7
Tamandare,0,BR,1537808298,43,-8.28,-70.75,95.97,3.62
Batagay-Alyta,48,RU,1537808299,58,67.8,130.41,17.49,2.73
Kyzyl-Suu,12,KG,1537808299,100,42.34,78.0,40.8,6.08
Sobolevo,92,RU,1537808299,91,54.43,31.9,46.65,28.57
Gizo,20,IL,1537806000,74,31.8,34.94,80.6,6.93
Talcahuano,0,CL,1537804800,62,-36.72,-73.12,55.4,13.87
Pangody,68,RU,1537808300,95,65.85,74.49,49.62,8.32
Kloulklubed,90,PW,1537804320,88,7.04,134.26,78.8,6.93
Belyy Yar,40,RU,1537804800,93,53.6,91.39,53.6,4.47
Ucluelet,90,CA,1537804800,100,48.94,-125.55,50.0,2.24
Menongue,56,AO,1537808361,43,-14.66,17.68,77.61,2.17
Deputatskiy,88,RU,1537808361,95,69.3,139.9,27.66,2.73
Harper,90,US,1537805700,76,30.3,-99.24,78.08,3.36
Leningradskiy,76,RU,1537808362,100,69.38,178.42,35.4,11.01
Darnah,0,LY,1537808363,99,32.77,22.64,79.14,13.8
Puttur,20,IN,1537806600,88,12.76,75.2,78.8,3.36
Moron,75,VE,1537804800,94,10.49,-68.2,73.4,5.19
Bima,0,ID,1537808363,100,-8.45,118.73,70.5,4.41
Hambantota,48,LK,1537808363,100,6.12,81.12,78.6,11.79
Vestmanna,88,FO,1537806000,87,62.16,-7.17,50.0,14.99
Lavrentiya,36,RU,1537808364,99,65.58,-170.99,42.69,19.84
Seoul,0,KR,1537806600,62,37.57,126.98,57.2,2.24
Pampas,24,PE,1537808365,54,-12.4,-74.87,54.57,3.85
Nantucket,90,US,1537807500,67,41.28,-70.1,62.06,19.46
Lerik,0,AZ,1537804800,78,38.78,48.42,71.6,3.36
Chapleau,90,CA,1537804800,93,47.85,-83.4,42.8,6.93
Nome,1,US,1537805700,57,30.04,-94.42,84.92,4.7
Codrington,76,AU,1537808366,99,-28.95,153.24,54.21,3.74
Rundu,0,NA,1537808366,31,-17.91,19.77,74.82,3.06
Tobermory,0,CA,1537808200,88,45.25,-81.67,62.76,21.52
Shigony,12,RU,1537808366,98,53.39,48.68,48.09,4.74
Zeya,12,RU,1537808367,74,53.74,127.27,39.27,2.73
Tuatapere,88,NZ,1537808367,100,-46.13,167.69,40.53,13.24
Yining,92,CN,1537808367,78,29.04,114.56,68.79,3.4
Kalmunai,48,LK,1537808367,100,7.42,81.82,73.56,1.95
Aswan,0,EG,1537804800,12,24.09,32.9,102.2,8.05
Qasigiannguit,75,GL,1537804200,51,68.82,-51.19,37.4,7.54
Paamiut,68,GL,1537808368,91,61.99,-49.67,41.79,11.45
Logansport,90,US,1537806900,82,40.75,-86.36,68.0,11.41
Yumen,0,CN,1537808369,75,40.29,97.04,46.02,4.18
Vallenar,0,CL,1537808369,67,-28.58,-70.76,69.87,2.95
Suez,0,EG,1537808369,46,29.97,32.54,78.33,5.86
Mattru,92,SL,1537808369,96,7.62,-11.83,76.26,6.76
Greeneville,1,US,1537805700,61,36.16,-82.83,77.0,10.29
Khatra,80,IN,1537808370,91,22.98,86.85,77.88,2.95
Key West,90,US,1537808100,89,47.93,-96.78,46.94,14.99
Bonfim,40,BR,1537804800,35,-20.33,-44.24,86.0,4.7
San Quintin,20,PH,1537808371,92,17.54,120.52,71.76,2.39
West Bay,20,GB,1537806000,50,50.71,-2.76,59.0,5.82
Najran,20,SA,1537804800,18,17.54,44.22,89.6,11.41
Saint-Paul,0,FR,1537806600,36,45.22,1.9,64.4,12.75
Kamiiso,88,JP,1537808372,97,41.82,140.65,54.48,3.62
Broken Hill,8,AU,1537808372,60,-31.97,141.45,43.05,8.99
Maracas,40,TT,1537804800,59,10.76,-61.44,89.6,9.17
Salym,0,RU,1537808373,91,60.06,71.48,47.28,3.74
Sechura,0,PE,1537808433,81,-5.56,-80.82,74.73,11.01
Abancay,75,PE,1537804800,328,-13.64,-72.88,37.4,12.75
Ambilobe,0,MG,1537808435,56,-13.19,49.05,74.55,14.81
Luanda,20,AO,1537804800,73,-8.83,13.24,77.0,9.17
Vitoria do Mearim,32,BR,1537808376,63,-3.46,-44.87,89.85,4.74
Katsuura,92,JP,1537808436,100,33.93,134.5,67.62,4.41
Bulawayo,0,ZW,1537808436,20,-20.16,28.59,70.23,9.66
Sakaiminato,90,JP,1537804800,88,35.55,133.23,66.2,4.7
Samarai,92,PG,1537808437,100,-10.62,150.67,75.0,17.6
Peto,68,MX,1537808438,67,20.13,-88.92,88.41,5.64
Plattsburgh,1,US,1537806900,41,44.69,-73.46,58.28,4.7
Xining,92,CN,1537808439,100,36.62,101.77,47.64,2.62
Puerto Quijarro,20,BO,1537804800,44,-19.0,-57.72,98.6,5.82
Klyuchi,88,RU,1537808440,84,52.25,79.17,48.54,8.66
Puerto Escondido,75,MX,1537803660,66,15.86,-97.07,87.8,10.11
Almaznyy,68,RU,1537808502,40,48.03,40.04,59.34,9.78
Rocha,12,UY,1537808442,48,-34.48,-54.34,71.22,6.76
Abu Dhabi,0,AE,1537804800,56,24.47,54.37,95.0,4.7
Ponta Delgada,20,PT,1537806600,65,37.73,-25.67,77.0,14.99
Weligama,88,LK,1537808443,97,5.97,80.42,78.87,8.43
Rancho Palos Verdes,40,US,1537806780,80,33.75,-118.37,68.0,4.52
Muros,0,ES,1537806600,60,42.77,-9.06,69.8,13.87
Coquimbo,0,CL,1537804800,63,-29.95,-71.34,64.4,12.75
Sabrum,20,IN,1537808445,95,23.0,91.73,78.33,4.18
Berlevag,75,NO,1537804200,75,70.86,29.09,44.6,31.09
Yar-Sale,92,RU,1537808445,90,66.83,70.83,54.93,9.55
Ilulissat,75,GL,1537804200,51,69.22,-51.1,37.4,7.54
Yaan,76,NG,1537808447,96,7.38,8.57,77.61,3.4
Tonantins,0,BR,1537808447,53,-2.86,-67.77,92.82,3.4
Port Hardy,40,CA,1537804800,100,50.7,-127.42,51.8,2.73
Coahuayana,0,MX,1537808448,64,18.62,-100.35,80.76,2.95
Newport,20,GB,1537806000,62,51.59,-3.0,59.0,6.93
Bekwai,36,GH,1537808449,86,6.46,-1.58,79.23,4.41
Praia da Vitoria,40,PT,1537804800,73,38.73,-27.07,77.0,11.23
Angoche,0,MZ,1537808450,100,-16.23,39.91,77.97,7.31
Tagusao,68,PH,1537808451,100,9.19,117.81,76.71,4.29
